                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9869,                 8.5106,                 3.4696,                      0,                      0,                      0,                      0,                 3.6347,                 6.3396,                 3.8828,                      0,                      0,                      0
                      2,                 3.1534,                  12.59,                 4.2779,                      0,                      0,                      0,                      0,                 3.6602,                 6.4026,                 3.9585,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 3.3098,                 11.827,                 4.0605,                      0,                      0,                      0,                      0,                 3.6518,                 6.4075,                 3.9692,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.8764,                 8.6549,                 3.1952,                      0,                      0,                      0,                      0,                 3.6926,                 6.3711,                 3.9988,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 3.0938,                 9.6038,                 2.9749,                      0,                      0,                      0,                      0,                 3.6824,                 6.3534,                 3.9778,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 2.8739,                 8.3161,                  3.579,                      0,                      0,                      0,                      0,                 3.7023,                 6.3481,                  4.015,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 3.1768,                 10.449,                 3.4749,                      0,                      0,                      0,                      0,                 3.7013,                 6.3401,                 4.0134,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 3.6035,                 14.261,                 3.9133,                      0,                      0,                      0,                      0,                 3.7097,                 6.3411,                 4.0199,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                  2.997,                 8.2828,                 3.4159,                      0,                      0,                      0,                      0,                 3.7218,                 6.3052,                 4.0336,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 2.7978,                 10.024,                 3.3318,                      0,                      0,                      0,                      0,                 3.7373,                 6.2447,                 4.0268,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                  2.803,                 6.8406,                 2.9684,                      0,                      0,                      0,                      0,                 3.7592,                 6.3007,                 4.0443,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 3.2469,                 11.165,                 3.5274,                      0,                      0,                      0,                      0,                 3.7664,                 6.3356,                 4.0649,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.7441,                 7.3521,                 2.9556,                      0,                      0,                      0,                      0,                 3.7754,                 6.3288,                 4.0537,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 3.2402,                 7.5239,                 3.7555,                      0,                      0,                      0,                      0,                 3.7693,                 6.3099,                 4.0352,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.8512,                 8.3379,                 3.1473,                      0,                      0,                      0,                      0,                 3.7705,                 6.3042,                 4.0214,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 3.1532,                 8.9535,                 3.7513,                      0,                      0,                      0,                      0,                 3.7704,                 6.3412,                  4.032,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 2.9667,                 6.8378,                 3.3198,                      0,                      0,                      0,                      0,                 3.7763,                 6.3605,                  4.033,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 3.0663,                 9.2707,                 3.5832,                      0,                      0,                      0,                      0,                 3.7763,                 6.3605,                  4.033,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 3.1681,                 8.2947,                 3.9158,                      0,                      0,                      0,                      0,                 3.7366,                 6.3774,                 4.0439,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 2.6016,                 8.1634,                 2.7536,                      0,                      0,                      0,                      0,                 3.7366,                 6.3774,                 4.0439,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 2.6705,                 7.6472,                 3.0477,                      0,                      0,                      0,                      0,                 3.7229,                 6.3833,                 4.0049,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.9828,                 6.4199,                 3.3736,                      0,                      0,                      0,                      0,                 3.7229,                 6.3833,                 4.0049,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.8345,                 6.3483,                 2.9934,                      0,                      0,                      0,                      0,                 3.6896,                 7.1377,                 3.9897,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 2.5762,                 6.1059,                 2.9863,                      0,                      0,                      0,                      0,                 3.6896,                 7.1377,                 3.9897,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                  2.795,                 6.7384,                 3.2341,                      0,                      0,                      0,                      0,                   3.69,                 7.8981,                 3.9773,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 2.8228,                 6.2039,                 2.8364,                      0,                      0,                      0,                      0,                   3.69,                 7.8981,                 3.9773,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 2.9488,                 6.4631,                 3.2455,                      0,                      0,                      0,                      0,                 3.6838,                 9.7425,                 3.9587,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 2.6879,                 6.2865,                 2.8625,                      0,                      0,                      0,                      0,                 3.6838,                 9.7425,                 3.9587,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.9363,                 6.3897,                 3.2554,                      0,                      0,                      0,                      0,                 3.6673,                 10.524,                  3.946,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.9857,                 6.3075,                 3.2872,                      0,                      0,                      0,                      0,                 3.6673,                 10.524,                  3.946,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 3.0153,                 7.4323,                 3.1216,                      0,                      0,                      0,                      0,                 3.6759,                 8.8865,                 3.9568,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.5676,                 6.9229,                 2.9699,                      0,                      0,                      0,                      0,                 3.6759,                 8.8865,                 3.9568,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.9991,                 6.3273,                 3.4822,                      0,                      0,                      0,                      0,                 3.6774,                 8.3069,                 3.9243,             2.6016e-05,             2.6016e-05,             2.6016e-05
